station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
THV,keet,2026-02-23 02:44,0.03,light,700.0,beam_in_cloud,2026/02/23,0,2,True,5.04,-9.55,1798,4.11,0.0,800.94,5.32,-7.76,3.2,-24.04,25.8,16.3,mixed,above_freeze,50
THV,keet,2026-01-09 19:53,0.03,light,800.0,beam_in_cloud,2026/01/09,12,7,True,19.74,18.13,12464,43.91,14.17,972.8,5.35,12.56,17.63,10.04,84.6,2.5,warm,below_freeze,50
THV,keet,2026-02-16 00:46,0.03,light,800.0,beam_in_cloud,2026/02/16,0,0,True,15.94,13.68,9883,22.74,7.18,953.68,5.46,5.47,14.9,1.99,78.3,3.5,warm,below_freeze,50
THV,keet,2026-03-23 07:53,0.14,moderate,6500.0,definite_miss,2026/03/23,0,7,True,19.04,14.85,13019,19.13,0.0,933.65,3.96,15.54,14.15,-9.42,17.0,25.0,warm,below_freeze,50
THV,keet,2026-02-22 23:53,0.07,moderate,500.0,beam_in_cloud,2026/02/22,12,11,True,6.74,-11.46,2175,3.82,0.0,757.3,6.01,-8.02,5.09,-22.34,30.6,14.3,mixed,above_freeze,50
THV,keet,2026-02-20 09:34,0.1,moderate,300.0,beam_in_cloud,2026/02/20,0,9,True,20.14,18.88,12520,33.91,268.88,968.26,5.43,9.18,19.49,7.55,89.5,1.6,warm,below_freeze,50
THV,keet,2026-02-19 21:38,0.06,moderate,500.0,beam_in_cloud,2026/02/19,12,9,True,25.34,16.0,12798,28.99,193.37,859.53,7.89,9.47,23.42,6.75,83.1,2.7,warm,below_freeze,50
THV,keet,2026-01-25 15:43,0.07,moderate,2000.0,beam_in_cloud,2026/01/25,12,3,True,12.04,11.63,10893,40.25,0.0,982.1,3.08,9.37,13.99,9.21,98.9,0.2,warm,below_freeze,50
THV,keet,2026-01-25 20:53,0.05,moderate,,no_ceiling,2026/01/25,12,8,True,7.84,6.95,11282,32.11,0.0,972.59,1.77,8.29,,4.4,76.5,3.9,warm,below_freeze,50
THV,keet,2026-03-23 09:53,0.21,heavy,5500.0,beam_in_cloud,2026/03/23,0,9,True,17.94,14.99,12998,22.0,0.0,950.57,3.82,13.53,14.24,-0.55,37.9,14.1,warm,below_freeze,50
